[0.000000] (-) TimerEvent: {}
[0.004972] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.004986] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.005000] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.005015] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.005060] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.005085] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.005101] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.005116] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.005133] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.005147] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.005161] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.005175] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.005188] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.005202] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.005216] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.005230] (-) JobUnselected: {'identifier': 'moveit_ros_tests'}
[0.005244] (-) JobUnselected: {'identifier': 'moveit_ros_trajectory_cache'}
[0.005257] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.005271] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.005285] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.005300] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.005314] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.005328] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.005341] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.005354] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.005368] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.005400] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.005414] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.005428] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.005441] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.005455] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.005468] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.005482] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.005495] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.005509] (-) JobUnselected: {'identifier': 'picknik_reset_fault_controller'}
[0.005522] (-) JobUnselected: {'identifier': 'picknik_twist_controller'}
[0.005536] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.005549] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.005563] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.005577] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.005590] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.005604] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.005618] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.005632] (-) JobUnselected: {'identifier': 'rviz_visual_tools'}
[0.005645] (-) JobUnselected: {'identifier': 'serial'}
[0.005659] (-) JobUnselected: {'identifier': 'ur'}
[0.005684] (-) JobUnselected: {'identifier': 'ur_calibration'}
[0.005698] (-) JobUnselected: {'identifier': 'ur_controllers'}
[0.005712] (-) JobUnselected: {'identifier': 'ur_dashboard_msgs'}
[0.005726] (-) JobUnselected: {'identifier': 'ur_description'}
[0.005740] (-) JobUnselected: {'identifier': 'ur_moveit_config'}
[0.005753] (-) JobUnselected: {'identifier': 'ur_robot_driver'}
[0.005767] (-) JobUnselected: {'identifier': 'ur_simulation_gz'}
[0.005782] (-) EventReactorShutdown: {}
